"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC100287168",1.00279345144372,-2.88218075204862,2.26280271371588,0.0435951700722214,0.622491326482246,-3.82268638742374
"C14orf73",1.77860035379169,-5.25315384259961,2.23223814973127,0.0460411121123143,0.635232686217905,-3.82354928718547
"LOC100287235",0.600567701683875,0.507373916933553,2.54444261957157,0.0262184540189856,0.512921934988564,-3.82460306883882
"CTSS",2.04241699117946,-4.63808352219653,2.2586297460964,0.0439216534572984,0.625259908025413,-3.82507184078771
"SRBD1",2.10450645030592,-3.32451584691706,2.22752673788345,0.0464295825540821,0.636433058618585,-3.8265348347755
"BCL2",1.47152180258387,-6.47212757466074,2.29237840975477,0.0413468009406479,0.613013392302178,-3.82711466598602
"LOC400464",1.73446425657846,-4.94162922150327,2.27034704685974,0.0430107911868479,0.620796514591516,-3.82851097297492
"HSDL1",1.74306542301161,-4.29199786159151,2.21504947381102,0.0474734914608037,0.640632003137074,-3.82899482386083
"FAM110A",1.9833786874266,-2.798528191693,2.23919632766611,0.0454730439338941,0.631107744223285,-3.83009379047947
"RAB7L1",1.7602588139718,-3.32034179370451,2.21128773723261,0.0477925690789361,0.640822181611425,-3.8320731882408
"DYNC2H1",0.923914317182504,-2.47271622167116,2.27631440944904,0.0425538712728141,0.6204658502759,-3.8329478987515
"PCDHB18",-1.34828362074261,-6.68345590809023,-2.307774566243,0.0402207193603079,0.609588867642627,-3.83415264548871
"CDC123",0.790327475817393,-1.03595289324052,2.42033864336383,0.0328382658007025,0.562863412117129,-3.83474382126587
"LOC728661",0.80421785447147,0.368943615199945,2.52288301373191,0.0272668714449919,0.51920648826943,-3.83498669265721
"FLJ10038",-0.907622712191997,-0.383162681638466,-2.48750288037625,0.0290765187714626,0.531811194557188,-3.83716160598651
"RFX4",1.71451483182539,-5.29935893124812,2.23159193064527,0.0460942112088723,0.635232686217905,-3.84010079477747
"PHLPPL",-1.25521408469288,-2.01910511418165,-2.35365488087021,0.0370368059958952,0.588535427155311,-3.84095419534652
"MEA1",0.60102258684157,0.952586029152115,2.55435158723032,0.025749890775202,0.508727747537501,-3.84197215643423
"ZNF501",1.22009317365736,-6.73258694770131,2.30272031680161,0.040587110127389,0.609588867642627,-3.84205126046499
